id,name,duration_time,price,image_url
1,시장부터 식사까지 경험하는 서울시민의 일상,3시간,유료,https://img.khan.co.kr/news/2017/12/03/l_2017120201000215800011504.webp
2,두 손 두 발 가볍게 경의선 나들이,3시간,무료,https://cdn.emetro.co.kr/data2/content/image/2020/11/01/.cache/512/20201101500226.jpg
3,서울의 야경명소,3시간,무료,https://www.sisa-news.com/data/photos/20180833/art_153414717394_620abb.jpg
4,청계천을 따라 걸으며 느끼는 가을의 정취,3시간,유료,https://dimg.donga.com/ugc/CDB/SHINDONGA/Article/5d/ba/2e/51/5dba2e510db3d2738de6.jpg
5,민주주의를 위한 함성 4.19 혁명,3시간,무료,https://cphoto.asiae.co.kr/listimglink/1/2021033108244157854_1617146682.jpg
6,쌍문동 역사 문학투어,3시간,유료,https://image.edaily.co.kr/images/Photo/files/NP/S/2017/11/PS17111900028.jpg
7,책과 커피가 함께하는 신촌의 가을 감성,3시간,유료,https://image.edaily.co.kr/images/Photo/files/NP/S/2017/11/PS17111900028.jpg
8,"그 시절 서울, 추억을 파는 극장으로 초대합니다.",3시간,유료,https://img.seoul.co.kr//img/upload/2017/09/13/SSI_20170913171249.jpg
9,과거도 지금도 핫플장소! 용산 이태원 투어,3시간,유료,https://korean.visitseoul.net/comm/getImage?srvcId=POST&parentSn=2051&fileTy=POSTTHUMB&fileNo=1
10,여의도 도심 산책,3시간,유료,https://futureheritage.seoul.go.kr/HeritageImg/heritage/20171017093959_01.jpg
11,"다리로 이어지는 시간 여행! 종로와 을지로의 물, 길, 그리고 삶",3시간,유료,https://photo.sentv.co.kr/photo/news/2021/01/04/1609720744.png
12,"전통의 향기 품은 인사동 골목길에서 색, 멋, 맛을 향유하다",4시간,유료,https://img.seoul.co.kr//img/upload/2020/06/03/SSI_20200603165311.jpg
13,성북동천에 흐르는 미래유산을 찾아서,3시간,유료,https://img.hani.co.kr/imgdb/resize/2016/0812/147089295599_20160812.JPG
14,겉모습은 바뀌지만 속의 추억은 전해지는 공간. 성수동 코스,3시간,유료,https://futureheritage.seoul.go.kr/HeritageImg/heritage/20210928165322_2020022_001_%25ED%2595%259C%25EC%2596%2591%25EB%258C%2580%25ED%2595%2599%25EA%25B5%2590%25EB%25B0%2595%25EB%25AC%25BC%25EA%25B4%2580%25EC%2599%25B8%25EA%25B4%2580%25EC%25B8%25A1%25EB%25A9%25B41.jpg
