id,category_id,name,district,address,latitude,longitude,work_time,price,phone_number,image_url,page_url,description
1,8,해창양복점,중구,중구 남대문로7길 33,37.56379583,126.980017,,유료,02-776-1667,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Inside_of_haechang_bespoke_tailor.jpg/800px-Inside_of_haechang_bespoke_tailor.jpg,,서울미래유산
2,8,한영양복점,중구,중구 퇴계로20길 2,37.55971637,126.9854347,,유료,02-2266-0870,https://img.khan.co.kr/news/2017/12/03/l_2017120201000215800011504.webp,,서울미래유산
3,8,상동교회(구 새로나백화점),중구,중구 남대문로 30,37.56083481,126.9790477,,무료,,https://img.khan.co.kr/news/2020/03/23/l_2020032301002959900240628.jpg,,서울미래유산
4,6,라 칸티나,중구,중구 을지로 19,37.56630645,126.9799571,,유료,02-777-2580,https://mblogthumb-phinf.pstatic.net/MjAxOTAyMjJfNDcg/MDAxNTUwNzk5MTc1NzM5.Lhmz2cMmrMsjfz4oWBwiN4Oh3A6y6NfiHmp-aQn0KrMg.sGcz9JN29WsmmYqIqoEtnBYWP8aSblJWN5fES1Bw4ewg.JPEG.roaltlf/04.%EB%9D%BC%EC%B9%B8%ED%8B%B0%EB%82%98.jpg?type=w420,,서울미래유산
5,8,남대문시장,중구,중구 남대문시장4길 21,37.55918636,126.9776537,,유료,02-753-2805,https://lh6.googleusercontent.com/proxy/1ADRZFhsuFWwrgAXJOy_0j68BsGbHm-v4I385dfvBboOzpLaVwhY_l0foPLYcbEuty69vlBMYx0_4HXpC726KTvxsRJ_s12O6UMYSx57MEofyJc,,서울미래유산
6,8,홍대 앞 서교 365,마포구,마포구 홍익로3길 1,37.55426481,126.9224272,,무료,,https://futureheritage.seoul.go.kr/HeritageImg/heritage/2013291/jpg/2013291_001.jpg,,서울미래유산
7,8,경춘선 폐철도노선,노원구,노원구 공릉로55길 88 인근,37.63204326,127.0679518,,무료,,https://cdn.emetro.co.kr/data2/content/image/2020/11/01/.cache/512/20201101500226.jpg,,서울미래유산
8,8,연남동 기사식당 거리,마포구,서울특별시 마포구 연남로 25,37.56189807,126.9219039,,무료,,https://futureheritage.seoul.go.kr/HeritageImg/heritage/20171016174124_01.png,,서울미래유산
9,8,서울화력발전소(당인리발전소),마포구,마포구 토정로 56,37.54394733,126.9196472,,무료,,https://i.namu.wiki/i/6ooMiWfD1zopoLbiJrajytB8qlYC13W-XPjKbAoNmmnVPSFFifmeembJT8feesdee8GtFEyQjZT4nXMvEAWmzg.webp,,서울미래유산
10,8,남대문 지하보도,중구,중구 세종대로 50,37.56092735,126.9762484,,무료,,https://mediahub.seoul.go.kr/wp-content/uploads/editor/images/000215/DSC02518.jpg,,서울미래유산
11,8,남대문교회,중구,중구 퇴계로 6,37.55600486,126.9745814,,무료,02-753-6343,https://futureheritage.seoul.go.kr/HeritageImg/heritage/2013045/jpg/2013045_001.jpg,,서울미래유산
12,8,서울역 고가도로,중구,중구 통일로 1 일대,37.55605818,126.9721159,,무료,,https://futureheritage.seoul.go.kr/HeritageImg/heritage/20171016154214_01.png,,서울미래유산
13,1,서울역광장,용산구,용산구 한강대로 405,37.5548376,126.9717326,,무료,,https://www.sisa-news.com/data/photos/20180833/art_153414717394_620abb.jpg,,서울미래유산
14,8,서울풍물시장,동대문구,동대문구 천호대로4길 21,37.57271319,127.0255029,,유료,02-2232-3367,https://minio.nculture.org/amsweb-opt/multimedia_assets/46/27584/12098/c/27584-full-size.jpg,,서울미래유산
15,3,청계천 고가도로 존치 기념물,성동구,서울특별시 성동구 왕십리도선동 291-2,37.57022304,127.0278037,,무료,,https://mblogthumb-phinf.pstatic.net/MjAyMTEyMzBfMTQ0/MDAxNjQwODQxODQyMzc3.ARxclt6UiGZcYrhZ_64_pxOL42qAcQJVY2Q9xYwqiaMg.MGSR4io060CdGz2MizyxoIF5hEeW7qRgRRjPo5bK3WAg.JPEG.mismatch55/20211222%EF%BC%BF155046.jpg?type=w800,,서울미래유산
16,8,동대문패션타운,중구,중구 장충단로 263,37.56811569,127.0084727,,유료,,https://futureheritage.seoul.go.kr/HeritageImg/heritage/2013077/jpg/2013077_001.jpg,,서울미래유산
17,8,청계천 헌책방거리,중구,중구 청계천로 274 평화시장 내,37.56942586,127.0080476,,무료,,https://dimg.donga.com/ugc/CDB/SHINDONGA/Article/5d/ba/2e/51/5dba2e510db3d2738de6.jpg,,서울미래유산
